12:58:42 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:43 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:44 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:44 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:44 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:45 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:45 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:45 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:45 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:45 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:45 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:45 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:46 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:46 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:46 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
12:58:48 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui] 
12:58:52 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:22 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:23 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:24 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:25 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:25 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:25 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:25 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:25 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:25 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:26 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:26 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:26 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
13:00:26 - REQUEST method = [GET] , path = [/iot-cloud-platform/swagger-ui/] 
